id,user_id,name,amount,speed
1,16,Biodex,377095.5,89.2
2,35,Lotstring,247194.7,28.09
3,50,Stringtough,106183.2,71.65
4,14,Holdlamis,446587.6,79.48
5,85,Opela,864109.7,53.81
6,13,Alpha,317481.7,67.11
7,80,Bitchip,603197.7,91.57
8,97,Bitchip,509559.1,34.39
9,95,Asoka,389221.0,9.83
10,69,Duobam,877373.1,59.74
11,7,Y-Solowarm,69265.9,92.95
12,54,Subin,176013.5,84.97
13,73,Lotstring,676621.7,7.29
14,6,Mat Lam Tam,448956.5,33.5
15,15,Sub-Ex,244435.5,40.18
16,44,Trippledex,724800.8,28.12
17,26,Rank,652407.0,98.8
18,63,Voltsillam,419242.7,31.74
19,91,Tampflex,86626.8,84.12
20,6,Alpha,653832.3,98.69
21,85,Latlux,415226.6,64.22
22,5,Lotstring,416451.4,88.06
23,30,Latlux,568301.8,45.35
24,87,Daltfresh,453606.1,34.09
25,58,Toughjoyfax,790364.7,47.87
26,97,Bamity,796118.9,16.92
27,83,Y-find,313751.4,41.99
28,60,Otcom,885104.4,62.67
29,12,Duobam,724970.9,63.06
30,26,Alphazap,355238.1,94.96
31,17,Asoka,862877.7,34.2
32,24,Toughjoyfax,488094.7,41.27
33,78,It,253027.4,95.09
34,71,Temp,450191.5,94.4
35,71,Cardguard,336958.1,67.86
36,20,Ronstring,365873.5,59.45
37,86,Mat Lam Tam,593415.6,2.02
38,13,Rank,888847.4,70.76
39,3,Bamity,595210.5,32.61
40,60,Regrant,392016.5,82.06
41,98,Cardguard,705461.5,24.08
42,66,Bitwolf,806646.0,67.67
43,98,Treeflex,963356.4,24.13
44,9,Stim,940160.5,62.82
45,95,Lotstring,545264.5,56.37
46,72,Opela,711794.8,58.6
47,73,Redhold,471889.5,80.29
48,52,Konklab,694278.0,10.33
49,72,Mat Lam Tam,893312.1,11.42
50,3,Treeflex,952311.0,72.91
51,86,Trippledex,365401.0,44.14
52,94,Prodder,841520.7,95.82
53,11,Fixflex,542776.8,74.95
54,16,Alpha,316247.7,23.85
55,60,Zoolab,94982.9,2.08
56,94,Pannier,569273.8,44.25
57,94,Bytecard,792320.0,88.1
58,70,Domainer,764637.2,33.67
59,100,Cardguard,466607.4,45.47
60,79,Zamit,878828.0,2.97
61,80,Viva,582329.8,71.87
62,38,Fixflex,438722.5,77.34
63,33,Alphazap,490573.6,17.74
64,77,Treeflex,223635.7,29.41
65,18,Gembucket,432960.5,47.75
66,45,Tempsoft,204652.2,77.11
67,59,Fixflex,869737.3,24.89
68,20,Bitwolf,917384.7,95.6
69,99,Bitwolf,905368.3,64.78
70,20,Aerified,225519.4,5.3
71,63,Ronstring,536837.8,93.39
72,51,Stim,401129.9,10.98
73,100,Transcof,760714.1,54.27
74,94,Mat Lam Tam,682162.0,21.61
75,51,Konklux,373745.7,82.61
76,7,Flexidy,553265.6,3.74
77,84,Stringtough,190230.6,78.21
78,98,Cookley,505935.1,8.53
79,98,Vagram,742887.7,78.29
80,73,Zamit,835792.6,70.34
81,70,Tampflex,608460.6,46.97
82,71,Vagram,877607.8,89.73
83,27,Vagram,230943.1,62.51
84,33,Pannier,768372.0,59.89
85,94,Regrant,692047.0,3.94
86,20,Voltsillam,320425.2,32.79
87,34,Opela,281804.5,20.38
88,54,Flowdesk,488294.5,61.84
89,93,Konklab,69673.3,80.82
90,95,Sonsing,665869.9,30.04
91,16,Voyatouch,632131.2,30.71
92,69,Cookley,945470.7,23.95
